Title,Author,Publisher,Price,Quantity
In Web Design for Libraries,Charles P. Rubenstein,Libraries Unlimited,16,298
Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,Owl Books (Henry Holt),85,349
The History of Sexuality 1: An Introduction,Michel Foucault/Robert Hurley,Pantheon Books (NY),76,275
The History of Sexuality  Volume 1: The Will to Knowledge,Michel Foucault/Robert Hurley,Penguin,73,12
The History of Sexuality  Volume 2: The Use of Pleasure,Michel Foucault/Robert Hurley,Penguin,86,94
The Making of Pride and Prejudice,Sue Birtwistle/Sue Conklin/Susie Conklin,Penguin Books Ltd,54,197
Pride and Prejudice,Jane Austen,Oxford University Press,41,40
Pride & Prejudice,Jane Austen/Vivien Jones,Penguin Books,85,69
Pride and Prejudice,Jane Austen/George Saintsbury/Hugh  Thomson,Dover Publications,19,218
Pride and Prejudice,Jane Austen/Carol Howard,Barnes  Noble Classics,2,384
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,Anchor Books,38,159
Iceland: Land of the Sagas,David  Roberts/Jon Krakauer,Villard,81,498
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,Anchor Books,15,88
In the Land of White Death: An Epic Story of Survival in the Siberian Arctic,Valerian Albanov/Jon Krakauer/David  Roberts/Alison Anderson/Валериан Альбанов,Modern Library,15,219
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,Farrar  Straus and Giroux (NY),12,498
La Tierra es plana: Breve historia del mundo globalizado del siglo XXI,Thomas L. Friedman,Planeta Publishing,77,332
The Avalanche Handbook,David McClung/Peter Schaerer,Mountaineers Books,83,468
Avalanche,Arthur J. Roth,Scholastic,44,409
Little Women,Louisa May Alcott,Signet Classics,39,189
Little Women (Little Women  #1),Louisa May Alcott/Scott McKowen,Sterling,44,165
Little Women,Louisa May Alcott/Paula Danziger,Scholastic Paperbacks,4,439
Little Women,Louisa May Alcott/Jessie Willcox Smith/Frank T. Merrill,Gramercy Books,81,168
Little Women  Little Men  Jos Boys,Louisa May Alcott/Elaine Showalter,Library of America,70,444
Little Women,Louisa May Alcott,Collectors Library,26,241
A Tale of Two Cities,Charles Dickens/Keith Cox/Cynthia Brantley Johnson,Simon  Schuster,53,398
A Tale of Two Cities,Charles Dickens/Gillen DArcy Wood,Barnes & Noble Classics,1,437
A Tale of Two Cities: Charles Dickens,SparkNotes,Spark Publishing,26,484
A Tale of Two Cities,Charles Dickens/Gillen DArcy Wood,Barnes  Noble Classics,52,38
A Tale of Two Cities,Charles Dickens/Simon Schama,Everymans Library,39,44
Den of Thieves,James B. Stewart,Simon  Schuster,96,317
Den of Thieves (Cat Royal  #3),Julia Golding,Egmont Books Ltd,62,301
Charles Dickens: Four Novels:  Great Expectations  Hard Times  A Christmas Carol  and A Tale of Two Cities,Charles Dickens,Gramercy,46,381
Bleak House,Charles Dickens/Mary Gaitskill/Hablot Knight Browne,Modern Library,4,332
David Copperfield,Charles Dickens/Gish Jen,Signet,23,52
What Jane Austen Ate and Charles Dickens Knew: From Fox Hunting to Whist—the Facts of Daily Life in 19th-Century England,Daniel Pool,Touchstone,39,157
Charles Dickens,Jane Smiley,Viking,79,25
Martin Chuzzlewit,Charles Dickens/Patricia Ingham/Hablot Knight Browne,Penguin Classics,43,482
Why Is Sex Fun? The Evolution of Human Sexuality (Science Masters),Jared Diamond,Basic Books,99,111
The Third Chimpanzee: The Evolution & Future of the Human Animal,Jared Diamond,HarperCollins Publishers,66,86
J.K.Rowling,Colleen Sexton,Lerner Publications,33,89
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,Arthur A. Levine,52,16
J.K. Rowlings Harry Potter Novels: A Readers Guide,Philip Nel,Bloomsbury Academic,90,233
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,Bloomsbury Publishing,97,436
The Santaroga Barrier,Frank Herbert,Tor Books,9,291
The Dosadi Experiment (ConSentiency Universe  #2),Frank Herbert,Tor Books,67,180
The Eyes of Heisenberg,Frank Herbert,Tor Books,68,207
The Birds (Methuen Drama),Sean OBrien,Bloomsbury Methuen Drama,5,349
The Frogs,Aristophanes/B.B. Rogers,Digireads.com,3,402
Lysistrata,Aristophanes/Jeffrey Henderson,OUP Oxford,37,40
Myths of the Underworld Journey: Plato  Aristophanes  and the Orphic Gold Tablets,Radcliffe G. Edmonds III,Cambridge University Press,95,458
Assembly of Women (Literary Classics),Aristophanes/Robert Mayhew,Prometheus Books,30,132
Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes/F.W. Hall/W.M. Geldart,Oxford University Press  USA,26,96
Aristophanes and His Theatre of the Absurd,Paul Anthony Cartledge,Bristol Classical Press,39,16
Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters,Raymond Chandler/Frank MacShane,Library of America,46,156
Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell  My Lovely / The High Window,Raymond Chandler/Frank MacShane,Library of America,74,472
The Lady in the Lake  The Little Sister  The Long Goodbye  Playback (Everymans Library),Raymond Chandler/Tom Hiney,Everymans Library,34,345
The High Window (Philip Marlowe  #3),Raymond Chandler,Vintage Crime/Black Lizard,0,282
The Simple Art of Murder,Raymond Chandler,Vintage Crime/Black Lizard,12,35
The Big Sleep (Philip Marlowe  #1),Raymond Chandler,Vintage Crime,18,476
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,Vintage Crime/Black Lizard,48,124
An Evening of Long Goodbyes,Paul Murray,Random House Trade Paperbacks,26,191
The Long Goodbye: Memories of My Father,Patti   Davis,Plume Books,59,259
Ghost In the Shell 2: Innocence: After the Long Goodbye,Masaki Yamada/Yuji Oniki/Carl Gustav Horn,VIZ Media LLC,81,53
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,BBC Worldwide,62,492
Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,Viking Books,14,272
Darwins Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,Simon  Schuster,12,222
Freedom Evolves,Daniel C. Dennett,Penguin,2,257
Brainstorms: Philosophical Essays on Mind and Psychology,Daniel C. Dennett,MIT Press,86,59
Kinds of Minds: Towards an Understanding of Consciousness,Daniel C. Dennett,Basic Books,42,421
Leaps of Faith: Science  Miracles & the Search for Supernatural Consolation,Nicholas Humphrey/Daniel C. Dennett,Copernicus Books,11,391
Elbow Room: The Varieties of Free Will Worth Wanting,Daniel C. Dennett,MIT Press,84,131
The Mind’s I: Fantasies and Reflections on Self and Soul,Douglas R. Hofstadter/Daniel C. Dennett,Bantam Books,45,145
The Illustrated A Brief History of Time,Stephen Hawking,Bantam Books,88,18
A Briefer History of Time,Stephen Hawking/Leonard Mlodinow,Bantam,70,22
The Universe in a Nutshell,Stephen Hawking,Bantam,34,195
God Created the Integers: The Mathematical Breakthroughs That Changed History,Stephen Hawking,Running Press Book Publishers,49,1
Stephen Hawkings Universe: The Cosmos Explained,David Filkin/Stephen Hawking,Basic Books,13,248
The Future of Spacetime,Stephen Hawking/Kip S. Thorne/Igor Novikov/Timothy Ferris/Alan Lightman/Richard     Price,W. W. Norton  Company,40,417
Stephen Hawkings Universe,John Boslough,Avon,95,429
The Nature of Space and Time,Stephen Hawking/Roger Penrose,Princeton University Press,55,442
The Physics of Star Trek,Lawrence M. Krauss/Stephen Hawking,ReganBooks,64,81
Falconry & Hawking,Phillip Glasier,Batsford,97,211
The World Treasury of Physics  Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike,Timothy Ferris,Back Bay Books,68,353
The Art of Nonfiction: A Guide for Writers and Readers,Ayn Rand/Robert Mayhew/Peter   Schwartz,New American Library,32,418
The Journals of Ayn Rand,Ayn Rand/Leonard Peikoff/David Harriman,NAL,48,46
The Fountainhead,Ayn Rand/Leonard Peikoff,Signet Book,51,297
The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease  Related Dementing Illnesses  and Memory Loss in Later Life,Nancy L. Mace/Peter V. Rabins,Grand Central Life & Style,80,19
The 3-Hour Diet: On the Go,Jorge Cruise,William Morrow Paperbacks,18,444
The Last Hours of Ancient Sunlight: The Fate of the World and What We Can Do Before Its Too Late,Thom Hartmann/Joseph Chilton Pearce/Neale Donald Walsch,Broadway Books,79,385
Specimen Days,Michael Cunningham,Picador USA,51,217
A Home at the End of the World,Michael Cunningham,Picador,66,344
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Little  Brown and Company,25,72
Blink,Ted Dekker,Thomas Nelson,46,3
Blink-182: Tales from Beneath Your Mom,Mark Hoppus/Anne Hoppus/Alex Gaskarth,MTV Books,61,144
The Complete Novels,Jane Austen/Hugh  Thomson,Gramercy Books,67,392
The Jane Austen Book Club,Karen Joy Fowler,G.P. Putnams Sons,58,11
Jane Austen: The Complete Novels,Jane Austen,Gramercy Books,25,209
Jane Austens Letters,Jane Austen/Deirdre Le Faye,Oxford University Press  USA,21,379
Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,Oxford University Press,68,326
Tea with Jane Austen,Kim Wilson/Tom Carpenter,Jones Books,31,257
The Old Man and the Sea,Ernest Hemingway/Donald Sutherland,Simon  Schuster Audio,38,160
Cliffs Notes on Hemingways The Old Man and the Sea,Jeanne Sallade Criswell/Gary Carey,Cliffs Notes,74,424
Flauberts Parrot,Julian Barnes,Vintage,33,87
Flaubert in Egypt: A Sensibility on Tour,Gustave Flaubert/Francis Steegmuller,Penguin Books (Penguin Classics),32,5
A Sentimental Education,Gustave Flaubert/Douglas Parmée,Oxford University Press,3,268
Three Tales,Gustave Flaubert/Roger Whitehouse/Geoffrey Wall,Penguin Classics,30,415
Sentimental Education,Gustave Flaubert/Robert Baldick/Geoffrey Wall,Penguin Classics,20,28
The Family Idiot 5: Gustave Flaubert 1821-1857,Jean-Paul Sartre/Carol Cosman,University of Chicago Press,27,18
Middlesex,Jeffrey Eugenides,Picador USA,17,413
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,Simon & Schuster,5,387
John Adams,David McCullough,Simon & Schuster Paperbacks,33,184
The John Adams Reader: Eseential Writings on an American Composer,Thomas May/John   Adams,Amadeus,2,343
The Letters of John and Abigail Adams,Abigail Adams/Frank Shuffelton,Penguin Classics,69,486
Passionate Sage: The Character and Legacy of John Adams,Joseph J. Ellis,W. W. Norton  Company,55,288
The Portable John Adams,John  Adams/John Patrick Diggins,Penguin Books,22,279
Sex For Dummies,Ruth Westheimer,For Dummies,29,311
Baby Signing For Dummies,Jennifer Watson,John Wiley & Sons,6,67
The Feeling Good Handbook,David D. Burns,Penguin,36,327
On Death and Dying,Elisabeth Kübler-Ross,Scribner,74,498
Questions and Answers on Death and Dying: A Companion Volume to On Death and Dying,Elisabeth Kübler-Ross,Scribner,77,388
The Last Dance: Encountering Death and Dying,Lynne Ann DeSpelder/Albert Lee Strickland,McGraw-Hill Humanities/Social Sciences/Languages,85,198
Mahatma Gandhi and His Myths: Civil Disobedience  Nonviolence  and Satyagraha in the Real World (Plus Why Its Gandhi  Not Ghandi),Mark Shepard,Simple Productions,94,299
The Seven Habits of Highly Effective People,Stephen R. Covey,Free Press,61,167
The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,Simon  Schuster,35,24
Daily Reflections For Highly Effective People: Living the 7 Habits of Highly Successful People Every Day,Stephen R. Covey,Simon  Schuster,88,376
Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,HJ Kramer,44,278
Secret of the Peaceful Warrior,Dan Millman/Robert D. San Souci/T. Taylor Bruce,HJ Kramer,97,275
Its Not about the Bike: My Journey Back to Life,Lance Armstrong/Sally Jenkins,Berkley Publishing Group,70,98
23 Days in July: Inside the Tour de France and Lance Armstrongs Record-Breaking Victory,John Wilcockson/Graham   Watson,Da Capo Press,12,200
Truman,David McCullough,Simon  Schuster,33,281
The Complete Stories of Truman Capote,Truman Capote/Reynolds Price,Vintage,33,7
Breakfast at Tiffanys: A Short Novel and Three Stories,Truman Capote,Modern Library,92,100
Murder at The Washington Tribune (Capital Crimes  #21),Margaret Truman,Ballantine Books,38,115
Murder at Fords Theatre (Capital Crimes  #19),Margaret Truman,Fawcett,72,132
Other Voices  Other Rooms,Truman Capote,Vintage,40,76
In Cold Blood,Truman Capote/Scott Brick,Random House Audio,44,255
Emergence: The Connected Lives of Ants  Brains  Cities  and Software,Steven Johnson,Scribner,96,278
Emergence: Labeled Autistic,Temple Grandin/Margaret M. Scariano,Grand Central Publishing,64,331
The Emergence of Life on Earth: A Historical and Scientific Overview,Iris Fry,Rutgers University Press,28,270
The Ghost Stories of Edith Wharton,Edith Wharton/Laszlo Kubinyi,Scribner,90,428
The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,Edith Wharton/R.W.B. Lewis,Library of America,99,250
Collected Stories  1911-1937,Edith Wharton/Maureen Howard,Library of America,88,379
Novellas and Other Writings: Madame de Treymes / Ethan Frome / Summer / Old New York / The Mother’s Recompense / A Backward Glance,Edith Wharton/Cynthia Griffin Wolff,Library of America,19,423
The House of Mirth,Edith Wharton,Dover Publications,21,140
Below the Root,Zilpha Keatley Snyder/Alton Raible,Atheneum Books,3,126
The Witches of Worm,Zilpha Keatley Snyder,Dell Yearling,77,172
The Deeper Meaning of Liff,Douglas Adams/John Lloyd,Three Rivers Press,40,164
Dirk Gentlys Holistic Detective Agency (Dirk Gently #1),Douglas Adams,Phoenix Audio,99,348
The Letters of J.R.R. Tolkien,J.R.R. Tolkien/Humphrey Carpenter/Christopher Tolkien,Mariner Books,33,168
The History of the Lord of the Rings (The History of Middle-earth #6-9),J.R.R. Tolkien/Christopher Tolkien,Mariner Books,5,164
The Languages of Tolkiens Middle-Earth,Ruth S. Noel/J.R.R. Tolkien,Houghton Mifflin Company,82,192
The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),J.R.R. Tolkien,Mariner Books,75,474
Farmer Giles of Ham,J.R.R. Tolkien/Christina Scull/Wayne G. Hammond,Houghton Mifflin Harcourt,22,104
Tandia,Bryce Courtenay,Penguin Books Australia Ltd.,42,139
Matthew Flinders Cat,Bryce Courtenay,Viking,57,309
Solomons Song (The Potato Factory  #3),Bryce Courtenay,Penguin Books Australia Ltd.,71,233
An Introduction to Old Norse,E.V. Gordon/A.R. Taylor,Oxford University Press,28,35
Cold Counsel: Women in Old Norse Literature and Myth,Sarah M.  Anderson/Karen Swenson,Routledge,4,224
Brave Companions: Portraits in History,David McCullough,Simon Schuster,15,288
Mornings on Horseback: The Story of an Extraordinary Family  a Vanished Way of Life  and the Unique Child Who Became Theodore Roosevelt,David McCullough,Simon  Schuster,68,117
John Adams,David McCullough,Simon & Schuster,43,492
The Johnstown Flood,David McCullough,Peter Smith Publisher,39,492
The Path Between the Seas: The Creation of the Panama Canal  1870-1914,David McCullough,Simon  Schuster,71,451
The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,Signet Book,9,292
The Bone Collectors Son,Paul Yee,Two Lions,69,438
El Coleccionista De Huesos (Lincoln Rhyme  #1),Jeffery Deaver,Punto de Lectura,78,84
Moby Dick,Herman Melville/William Hootkins,Naxos Audiobooks,65,416
Moby-Dick,Jan Needle/Patrick Benson/Herman Melville,Candlewick Press,31,225
Moby Dick,Herman Melville/William Hootkins,Penguin Audio,30,401
Moby-Dick,Herman Melville/Carl F. Hovde,Barnes  Noble Classics,81,33
Herman Melvilles Moby-Dick: A Routledge Study Guide and Sourcebook,Michael J. Davey/Duncan Wu,Routledge,37,54
Moby Dick: or The White Whale (Oxford Illustrated Classics),Geraldine McCaughrean/Victor G. Ambrus/Herman Melville,Oxford University Press  USA,45,92
Melvilles Moby Dick: An American Nekyia (Studies in Jungian Psychology by Jungian Analysts),Edward F. Edinger,Inner City Books,3,50
Moby Dick: Or  the White Whale (Oxford Illustrated Classics Series),Geraldine McCaughrean/Victor G. Ambrus/Herman Melville,Oxford University Press  USA,95,351
Melville and the politics of identity: From *King Lear* to *Moby-Dick*,Julian Markels,University of Illinois Press,31,108
Unpainted to the Last: Moby Dick and Twentieth-century American Art,Elizabeth A. Schultz,University Press of Kansas,54,314
Double Tap (Paul Madriani  #8),Steve Martini,Jove Books,96,1
The List,Steve Martini,Jove,46,361
Witches Abroad (Discworld  #12; Witches #3),Terry Pratchett,HarperTorch,32,142
The Innocents Abroad,Mark Twain/Grover Gardner,Modern Library,6,123
Teaching English Abroad,Susan  Griffith,Vacation Work Publications,88,143
Theocritus: Select Poems: Select Poems,Theocritus/Kenneth James Dover,Bristol Classical Press,60,225
The Shield. Catalogue of Women. Other Fragments. (Hesiod II),Hesiod/Glenn W. Most,Harvard University Press,49,468
Death and the Kings Horseman,Wole Soyinka/Simon Gikandi,W. W. Norton & Company,90,35
The Time Machine,H.G. Wells/Patrick Parrinder/Steven McLean/Marina Warner,Penguin Books Ltd,39,91
The Time Machine,H.G. Wells/Cynthia Brantley Johnson/Benjamin Beard,Simon  Schuster,9,265
The Ultimate Time Machine: A Remote Viewers Perception of Time & Predictions for the New Millennium,Joseph McMoneagle,Hampton Roads Publishing Company,44,419
The Time Machine,H.G. Wells/Melvin Burgess,Scholastic Paperbacks,73,97
The Complete Short Stories,H.G. Wells/John R. Hammond,Orion Publishing,99,452
Selected Stories,H.G. Wells/Ursula K. Le Guin,Modern Library,59,262
Tono-Bungay,H.G. Wells/Edward Mendelson/Patrick Parrinder,Penguin Classics,86,471
The Name of the Rose (Everymans Library (Cloth)),Umberto Eco,Everymans Library,83,180
In the Name of Jesus: Reflections on Christian Leadership,Henri J.M. Nouwen,Crossroad,54,400
Blood Done Sign My Name: A True Story,Timothy B. Tyson,Broadway Books,98,112
Blindness,José Saramago/Giovanni Pontiero,Mariner Books,52,477
The Gospel According to Jesus Christ,José Saramago/Giovanni Pontiero,Harcourt,33,353
All the Names,José Saramago/Margaret Jull Costa,Mariner Books,26,454
The Tale of the Unknown Island,José Saramago/Peter Sís/Margaret Jull Costa,Mariner Books,44,184
Baltasar and Blimunda,José Saramago/Giovanni Pontiero,Mariner Books,75,379
The Cave,José Saramago/Margaret Jull Costa,Mariner Books,21,296
The Stone Raft,José Saramago/Giovanni Pontiero,Mariner Books,30,4
The Year of the Death of Ricardo Reis,José Saramago/Giovanni Pontiero,Vintage Classics,33,407
El hombre duplicado,José Saramago/Pilar del Río,Punto de Lectura,26,274
Ensayo sobre la lucidez,José Saramago/Pilar del Río,Punto de Lectura,62,277
La caverna,José Saramago/Pilar del Río,Punto de Lectura,95,160
The History of the Siege of Lisbon,José Saramago/Giovanni Pontiero,Mariner Books,85,240
Las intermitencias de la muerte,José Saramago/Pilar del Río,Alfaguara,90,481
The Treasured Writings of Kahlil Gibran,Kahlil Gibran,Castle Books,22,367
The Prophet,Kahlil Gibran/جبران خليل جبران/Jihad El,Rupa & Co,72,355
A Tear and a Smile,Kahlil Gibran/جبران خليل جبران/H.M. Nahmad/Robert Hillyer,Alfred A.Knopf,16,212
On the Road,Jack Kerouac,Penguin Books,76,277
On the Road,Jack Kerouac/Ann Charters,Penguin Books,12,153
De Kooning: An American Master,Mark Stevens/Annalyn Swan,Knopf Publishing Group,9,401
Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,Schirmer Mosel,25,349
Aké: The Years of Childhood,Wole Soyinka,Vintage,79,296
Ready for Anything: 52 Productivity Principles for Getting Things Done,David    Allen,Penguin Books,63,116
The Facilitators Book of Questions: Tools for Looking Together at Student and Teacher Work,David  Allen/Tina Blythe/Gene Thompson-Grove,Teachers College Press,94,191
Sun Tzu and the Art of Business: Six Strategic Principles for Managers,Sun Tzu/Mark McNeilly,Oxford University Press  USA,41,105
Marketing Warfare,Al Ries/Jack Trout,McGraw-Hill Education,66,166
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Back Bay Books,37,210
Unleashing the Ideavirus: Stop Marketing AT People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing thing for You.,Seth Godin/Malcolm Gladwell,Hachette Books,79,87
The Innovators Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen/L.J. Ganser,Harper Paperbacks,38,123
Great Expectations,Charles Dickens/David Trotter/Charlotte Mitchell,Penguin Books,31,94
Great Expectations: Authoritative Text  Backgrounds  Contexts  Criticism,Charles Dickens/Edgar Rosenberg,W.W. Norton & Company,10,241
Luther and Erasmus: Free Will and Salvation (Library of Christian Classics),Erasmus/Martin Luther/Philip S. Watson/E. Gordon Rupp,Westminster John Knox Press,65,270
To Kill a Mockingbird,Harper Lee,Harper Perennial Modern Classics,72,50
To Kill a Mockingbird,Harper Lee/Sissy Spacek,Caedmon,5,444
To Kill a Mockingbird,Harper Lee,Harper,72,193
The Wealthy Barber: Everyones Common-Sense Guide to Becoming Financially Independent,David H. Chilton,Prima Lifestyles,78,247
A Modest Proposal and Other Satirical Works,Jonathan Swift,Dover Publications,0,214
Gullivers Travels / A Modest Proposal,Jonathan Swift/Jesse Gale,Simon  Schuster,47,425
Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),Xavier de C./Xavier de C./Joseph Rowe,North Atlantic Books,10,21
The Bostonians,Henry James/R.D. Gooder,Oxford University Press,19,350
Novels 1896–1899: The Other House / The Spoils of Poynton / What Maisie Knew / The Awkward Age,Henry James/Myra Jehlen,Library of America,46,220
Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James/Leo Bersani,Library of America,69,131
Complete Stories 1892–1898,Henry James/John Hollander/David Bromwich,Library of America,94,229
The Canterbury Tales,Geoffrey Chaucer/Nevill Coghill,Penguin Classics,91,69
The Canterbury Tales,Geoffrey Chaucer/David  Wright,Oxford University Press,42,181
The Canterbury Tales (original-spelling edition),Geoffrey Chaucer/Jill Mann,Penguin Classics,69,377
Chaucers Canterbury Tales (Selected): An Interlinear Translation,Geoffrey Chaucer/Vincent Foster Hopper,Barrons Educational Series,15,452
Oxford Guides to Chaucer: The Canterbury Tales,Helen  Cooper,Oxford University Press  USA,84,86
Love Visions,Geoffrey Chaucer/Brian Stone,Penguin Classics,74,76
Chaucers Canterbury Tales,Geoffrey Chaucer,Washington Square Press,25,398
The Riverside Chaucer,Geoffrey Chaucer/Larry Dean Benson/F.N. Robinson,Houghton Mifflin,34,372
The Portable Chaucer,Geoffrey Chaucer/Theodore Morrison,Penguin Books,23,28
Salt: A World History,Mark Kurlansky,Penguin Books,52,148
Salt in His Shoes: Michael Jordan in Pursuit of a Dream,Deloris Jordan/Kadir Nelson/Roslyn M. Jordan,Simon  Schuster Books for Young Readers,62,382
The Book of Salt,Monique Truong,Mariner Books,15,273
Cities of Salt (مدن الملح #1),Abdul Rahman Munif/Peter Theroux,Vintage,89,330
The Years of Rice and Salt,Kim Stanley Robinson,Bantam Books,75,469
Illuminations: Essays and Reflections,Walter Benjamin/Hannah Arendt/Harry Zohn/Leon Wieseltier,Schocken,98,256
Saul Steinberg: Illuminations,Saul Steinberg/Joel Smith/Charles Simic,Yale University Press,60,142
Advanced Global Illumination,Philip Dutre,A K PETERS,39,97
Snow Falling On Cedars,David Guterson,Bloomsbury Publishing PLC,80,191
The Lost Boy (Dave Pelzer #2),Dave Pelzer,Health Communications Inc,84,27
Real Boys: Rescuing Our Sons from the Myths of Boyhood,William S. Pollack/Mary Pipher,Owl Publishing Company,6,143
Microserfs,Douglas Coupland,Harper Perennial,11,90
New Media Language,Jean Aitchison/Diana M. Lewis,Routledge,21,367
The Denial of Death,Ernest Becker/Sam Keen/Daniel Goleman,Free Press,9,180
A Peoples History of the United States,Howard Zinn,Harper Perennial,44,376
A Peoples History of the United States,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,The New Press,62,449
A Peoples History of the United States: The Civil War to the Present,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,The New Press,82,426
Graphic Design: A Concise History (World of Art),Richard Hollis,Thames  Hudson,25,481
Immigrant Acts: On Asian American Cultural Politics,Lisa Lowe,Duke University Press Books,93,6
The Old Way of Seeing: How Architecture Lost Its Magic - And How to Get It Back,Jonathan Hale,Mariner Books,21,91
The Crying of Lot 49,Thomas Pynchon,Harper Perennial,57,155
E=mc²: A Biography of the Worlds Most Famous Equation,David Bodanis,Berkley Trade,92,290
Passionate Minds,David Bodanis,Crown Publishing Group (NY),21,171
Christian Mythmakers: C.S. Lewis  Madeleine LEngle  J.R.R. Tolkien  George MacDonald  G.K. Chesterton  Charles Williams  Dante Alighieri  John Bunyan  Walter Wangerin  Robert Siegel  and Hannah Hurnard,Rolland Hein/Clyde S. Kilby,Cornerstone Press Chicago,87,55
A House Like a Lotus (OKeefe Family  #3),Madeleine LEngle,Dell,78,312
The Rock That Is Higher: Story as Truth,Madeleine LEngle,Shaw Books,23,235
The Glorious Impossible,Madeleine LEngle/Giotto di Bondone,Simon & Schuster Childrens Publishing,7,48
A Full House: An Austin Family Christmas (Austin Family  #5.6),Madeleine LEngle/Mary Chambers,Shaw,3,478
A Circle of Quiet (Crosswicks Journals #1),Madeleine LEngle,HarperOne,21,71
The Birth of Tragedy and Other Writings,Friedrich Nietzsche/Raymond Geuss/Ronald Speirs,Cambridge University Press,28,185
The Birth of Tragedy/The Genealogy of Morals,Friedrich Nietzsche/Francis Golffing,Anchor,7,392
The Birth of Tragedy,Friedrich Nietzsche,Kessinger Publishing,95,262
The Birth of Tragedy,Friedrich Nietzsche/Michael Tanner/Shaun Whiteside,Penguin Classics,89,473
Birth Of A Tragedy: Kashmir 1947,Alastair Lamb,Roxford Books,10,23
The Tragedy of Puddnhead Wilson/Those Extraordinary Twins,Mark Twain/David Lionel Smith/Sherley Anne Williams,Oxford University Press  USA,3,86
The Tragedy of Puddnhead Wilson,Mark Twain/Michael Prichard,Tantor Media,22,329
Bridge to Terabithia,Katherine Paterson/Donna Diamond,HarperTeen,14,79
Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,Teaching Resources,26,254
Bread and Roses  Too,Katherine Paterson,Clarion Books,6,262
The Invisible Child,Katherine Paterson,Dutton Juvenile,3,206
A Short History of Decay,Emil M. Cioran/Richard Howard,Arcade Publishing,30,272
Scholar of Decay (Ravenloft  #14),Tanya Huff,TSR,22,241
Girl with a Pearl Earring,Tracy Chevalier,Plume Books,25,64
The Golden Tulip,Rosalind Laker,Doubleday,31,201
Burning Bright,Tracy Chevalier,Dutton,17,92
Falling Angels,Tracy Chevalier,Penguin Books,50,60
The Virgin Blue,Tracy Chevalier,Penguin Books,17,104
Wenn Engel fallen,Tracy Chevalier,List,74,415
Tom Hunter: Living in Hell and Other Stories,Tom Hunter/Tracy Chevalier/Colin Wiggins,National Gallery London,69,380
Bleach  Volume 15,Tite Kubo,VIZ Media LLC,1,278
Bleach  Volume 01,Tite Kubo,VIZ Media LLC,70,43
Bleach  Volume 14,Tite Kubo,VIZ Media LLC,37,84
Bleach  Volume 11,Tite Kubo,VIZ Media LLC,81,157
Bleach  Volume 12,Tite Kubo,VIZ Media LLC,68,473
DEATH NOTE デスノート 1,Tsugumi Ohba/Takeshi Obata/大場 つぐみ/小畑 健,集英社,90,44
Death Note  Vol. 4: 恋心 (Death Note  #4),Tsugumi Ohba/Takeshi Obata,Shueisha,37,341
Death Note  Vol. 3: 激走 (Death Note  #3),Tsugumi Ohba/Takeshi Obata,Shueisha,45,46
Love Artist (Harlequin Romance #2860),Valerie Parv,Harlequin Romance,3,110
Perfume: The Story of a Murderer,Patrick Süskind/John E. Woods,Vintage International,14,458
Das Parfum. Die Geschichte eines Mörders,Patrick Süskind,Diogenes,89,383
